,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DefaultData,Comments,ComplianceStatus,Outlier,ZipCode,Latitude,Longitude,Address,PropertyGFATotal_calc,BuildingAge,MeanGFAperFloor,ParkingGFARatio,Certified,CertifiedPreviousYear,NbYearsCertified,SteamUse(ratio),Electricity(ratio),NaturalGas(ratio),OtherFuelUse(ratio),SteamUse(bins),Electricity(bins),NaturalGas(bins),OtherFuelUse(bins),EnergyProfile,MainEnergy,ExtsurfVolRatio,SiteEnergyUseWN(kBtu)_log,TotalGHGEmissions_log
432,338,2016,NonResidential,Other,JACK R. MCDONALD BUILDING,660001215,7,DOWNTOWN,2004,1.0,11.0,299070,68432,230638,"('Other',)",Other,250000.0,None,0.0,None,0.0,(),,261.2999878,264.0,530.7000122,532.2999878,65336975.0,66000296.0,0.0,8983483.0,30651644.0,346853.3125,34685331.0,0.0,2055.82,6.87,False,,Compliant,,98101.0,47.61598,-122.33448,1900 9TH AVE.,250000.0,12,19219.833333333332,0.22881599625505736,False,False,0,0.0,0.4691316670231519,0.5308683329768481,0.0,(s),e,n,(o),(s)en(o),NaturalGas,0.04385604344747575,18.00516978482913,7.628430074104318
435,339,2015,NonResidential,Small- and Mid-Sized Office,BRODERICK BUILDING,939000130,7,DOWNTOWN,1900,1.0,7.0,89550,0,89550,"('Office', ' Retail Store', ' Social/Meeting Hall')",Office,64712.0,Retail Store,10058.0,Social/Meeting Hall,7030.0,(),81.0,50.3,54.1,150.4,159.8,4112164.0,4425113.0,312366.0,1113611.0,3799798.0,0.0,0.0,0.0,50.6,0.38,False,,Compliant,,98104,47.60260831,-122.33300887,615 2ND AVE,81800.0,115,11193.75,0.0,False,False,0,0.07596146457193828,0.9240385354280617,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.06558477537822237,15.302806372821275,3.92395157629342
437,340,2015,NonResidential,Small- and Mid-Sized Office,PIONEER BUILDING,939000150,7,DOWNTOWN,1900,1.0,6.0,89355,0,89355,"('Office', ' Retail Store')",Office,82355.0,Retail Store,7000.0,None,0.0,(),55.0,53.1,53.4,164.6,164.9,4742828.0,4767764.0,0.0,1364084.0,4654448.0,884.0,88380.0,0.0,37.14,0.19,False,,Compliant,,98104,47.60188691,-122.33410075,600 1ST AVE,89355.0,115,12765.0,0.0,False,False,0,0.0,0.9813655481497537,0.018634451850246307,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.06714980753878953,15.377387989858027,3.61469455592456
438,341,2015,NonResidential,Large Office,DEXTER HORTON BUILDING,939000260,7,DOWNTOWN,1922,1.0,15.0,388934,0,388934,"('Office',)",Office,388934.0,None,0.0,None,0.0,"('2015', '2014', '2012', '2011', '2009')",84.0,52.2,52.2,159.2,159.2,20310420.0,20309614.0,957322.0,5671833.0,19353098.0,0.0,0.0,0.0,208.81,0.32,False,,Compliant,,98104,47.60349737,-122.33226722,710 2ND AVE,388934.0,93,24308.375,0.0,True,True,5,0.04713452503690224,0.9528654749630978,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.039544480131339765,16.82660492795991,5.3414247475819705
441,342,2016,NonResidential,Large Office,SEATTLE EXCHANGE BUILDING,939000335,7,DOWNTOWN,1929,1.0,22.0,384302,0,384302,"('Convenience Store without Gas Station', ' Food Service', ' Office')",Office,348969.0,Convenience Store without Gas Station,3291.899902,Food Service,1437.0,"('2012', '2009', '2008')",98.0,28.39999962,29.60000038,89.30000305,93.0,10062435.0,10471812.0,0.0,2949131.0,10062435.0,0.0,0.0,0.0,70.15,0.18,False,,Compliant,,98104.0,47.60403,-122.33497,821 2ND AVE,353697.899902,87,16708.782608695652,0.0,False,False,3,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.040606629113373004,16.16419763377512,4.25063580654847
442,343,2015,NonResidential,Large Office,NORTON BUILDING,939000355,7,DOWNTOWN,1958,1.0,17.0,378525,84600,293925,"('Office', ' Parking', ' Restaurant')",Office,236827.0,Parking,83311.0,Restaurant,14679.0,(),68.0,101.3,104.5,242.9,240.7,25476983.0,26291068.0,9756039.0,4607354.0,15720944.0,0.0,0.0,0.0,862.64,2.1,False,,Compliant,,98104,47.60390362,-122.33424932,801 2ND AVE,334817.0,57,16329.166666666666,0.22349910838121656,False,False,0,0.38293541272135717,0.6170645872786429,0.0,0.0,s,e,(n),(o),se(n)(o),Electricity,0.03992915284237298,17.084739819692274,6.759997454573817
444,345,2015,NonResidential,Large Office,999 THIRD AVE,939000435,7,DOWNTOWN,1983,1.0,47.0,1323055,0,1323055,"('Office', ' Parking', ' Restaurant')",Office,1011135.0,Parking,272682.0,Restaurant,37595.0,(),93.0,43.0,45.1,134.6,141.3,45076730.0,47306916.0,0.0,13163170.0,44914600.0,1621.0,162130.0,0.0,321.72,0.1,False,,Compliant,,98104,47.60523404,-122.33465706,999 3RD AVE,1321412.0,32,27563.645833333332,0.0,False,False,0,0.0,0.9964032439797652,0.0035967560202348307,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.028722672912088326,17.672167058418516,5.773681602035868
447,346,2015,NonResidential,Large Office,1000 2ND AVENUE BUILDING,939000475,7,DOWNTOWN,1986,1.0,41.0,589921,129432,460489,"('Office', ' Parking', ' Pre-school/Daycare')",Office,485296.0,Parking,92787.0,Pre-school/Daycare,10290.0,"('2016', '2015')",82.0,52.9,52.9,166.1,166.1,26209226.0,26208138.0,0.0,7681166.0,26209226.0,0.0,0.0,0.0,182.71,0.12,False,,Compliant,,98104,47.60533104,-122.33503955,1000 2ND AVE,588373.0,29,10964.02380952381,0.21940564923099873,True,False,2,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.039042087928022585,17.081580531188834,5.207900196423574
449,347,2015,NonResidential,Small- and Mid-Sized Office,FEDERAL RESERVE BUILDING,939000520,7,DOWNTOWN,1950,1.0,6.0,91091,1392,89699,"('Office', ' Parking')",Office,89699.0,Parking,1392.0,None,0.0,(),,26.5,26.5,70.0,70.0,2373105.0,2373031.0,604443.0,518344.0,1768662.0,0.0,0.0,0.0,58.99,0.56,False,,Compliant,,98104,47.60537505,-122.3356282,1015 2ND AVE,91091.0,65,12814.142857142857,0.015281421874828468,False,False,0,0.25470554400247775,0.7452944559975222,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.06681082450284342,14.679678598965104,4.077367938014984
451,348,2016,NonResidential,Large Office,1101 SECOND AVENUE (HOB),942000025,7,DOWNTOWN,1968,1.0,8.0,157941,62993,94948,"('Office', ' Parking')",Office,84838.0,Parking,15401.0,None,0.0,"('2016',)",81.0,44.09999847,44.09999847,138.5,138.5,3743228.0,3743228.5,0.0,1097077.25,3743228.0,0.0,0.0,0.0,26.1,0.17,False,,Compliant,,98101.0,47.60581,-122.33663999999999,1101 2ND AVENUE,100239.0,48,10549.777777777777,0.39883880689624607,True,False,1,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.05488627253477657,15.135459032311527,3.261935314328648
452,349,2015,NonResidential,Large Office,2ND & SENECA BLDS,942000030,7,DOWNTOWN,1991,1.0,29.0,635303,197231,438072,"('Convenience Store without Gas Station', ' Office', ' Parking')",Office,522667.0,Parking,194435.0,Convenience Store without Gas Station,8842.0,"('2016', '2015', '2014', '2013', '2011', '2010', '2009', '2007', '2000')",97.0,34.5,35.8,107.8,111.7,18351522.0,19046346.0,162514.0,5330672.0,18189008.0,0.0,0.0,0.0,139.34,0.1,False,,Compliant,,98101,47.60611343,-122.33672333,1191 2ND AVE,725944.0,24,14602.4,0.3104518631267285,True,True,9,0.008855614264582524,0.9911443857354175,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.034894586089790264,16.762385830115274,4.936916989601973
454,350,2016,NonResidential,Large Office,SECOND AND SPRING BUILDING,942000045,7,DOWNTOWN,1958,1.0,6.0,172842,25920,146922,"('Data Center', ' Office', ' Parking')",Office,99890.0,Data Center,39336.0,Parking,25000.0,(),,297.39999389999997,299.2000122,909.5999756000001,911.5,41399499.0,41650404.0,0.0,11663150.0,39794668.0,16048.30957,1604831.0,0.0,362.66,2.1,False,,Not Compliant,high,98101.0,47.60642,-122.33581000000001,1100 SECOND AVENUE,164226.0,58,20988.85714285714,0.14996355052591384,False,False,0,0.0,0.961235497076909,0.03876450292309093,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.05720169222500215,17.544821626410034,5.893465756225879
457,351,2016,NonResidential,Large Office,1111 THIRD AVENUE,942000050,7,DOWNTOWN,1980,1.0,34.0,776762,162604,614158,"('Office', ' Parking')",Office,606050.0,Parking,154947.0,None,0.0,"('2016', '2009', '2008')",81.0,53.70000076,53.79999924,168.3000031,168.3999939,32552425.0,32577050.0,0.0,9512705.0,32457349.0,950.7598877,95076.0,0.0,231.32,0.3,False,,Compliant,,98101.0,47.60655,-122.33533,1111 3RD AVE SUITE 310,760997.0,36,17547.371428571427,0.20933567810989723,True,False,3,0.0,0.9970792959357099,0.002920704064290141,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.033199561089206735,17.299118610691153,5.443802033290018
458,352,2015,NonResidential,Large Office,ABRAHAM LINCOLN BUILDING,942000140,7,DOWNTOWN,1972,1.0,14.0,186768,23775,162993,"('Data Center', ' Office', ' Parking')",Office,182540.0,Parking,33671.0,Data Center,240.0,"('2016', '2014', '2012')",95.0,53.1,55.6,143.9,146.1,9700687.0,10171258.0,2148584.0,2213303.0,7552103.0,0.0,0.0,0.0,218.49,1.0,False,,Compliant,,98101,47.60668182,-122.33452606,1110 3RD AVE,216451.0,43,10866.2,0.1272969673605757,False,True,3,0.22148781833698994,0.7785121816630101,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.050661944479784754,16.135076457523358,5.386740246897934
460,353,2015,NonResidential,Large Office,SAFECO PLAZA / 1001 FOURTH AVENUE,942000300,7,DOWNTOWN,1969,1.0,49.0,1123435,368980,754455,"('Financial Office', ' Food Sales', ' Office', ' Other', ' Parking')",Office,808980.0,Parking,232248.0,Other,30329.0,"('2016', '2015', '2014', '2012', '2008')",88.0,55.0,59.6,152.9,161.1,47150089.0,51103256.0,0.0,11429570.0,38999312.0,81508.0,8150777.0,0.0,704.76,0.48,False,,Compliant,,98104,47.60633748,-122.33369209,1001 4TH AVE,1071557.0,46,15089.1,0.32843911752793886,True,True,5,0.0,0.8271312488932948,0.17286875110670522,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.031129678633621708,17.749358771343623,6.557857319322428
462,354,2015,NonResidential,Large Office,FOURTH & MADISON ( IDX TOWER),942000345,7,DOWNTOWN,2002,1.0,37.0,1052469,164420,888049,"('Convenience Store without Gas Station', ' Data Center', ' Financial Office', ' Fitness Center/Health Club/Gym', ' Office', ' Other', ' Parking', ' Personal Services (Health/Beauty', ' Dry Cleaning', ' etc)', ' Restaurant')",Office,763260.0,Parking,185581.0,Financial Office,103478.0,"('2016', '2015', '2014', '2013', '2012', '2011', '2010', '2009', '2008', '2007', '2006', '2005', '2004')",93.0,46.8,46.8,146.9,146.9,41657575.0,41655852.0,0.0,12208630.0,41657575.0,0.0,0.0,0.0,290.4,0.11,False,,Compliant,,98104,47.60566548,-122.33261347,925 4TH AVE,1052319.0,13,23369.71052631579,0.15622312866222188,True,True,13,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.029883119621054357,17.544952420909016,5.671259282950641
464,355,2016,NonResidential,Large Office,901 FIFTH AVENUE,942000365,7,DOWNTOWN,1973,1.0,42.0,617684,171500,446184,"('Financial Office', ' Office', ' Parking', ' Retail Store')",Office,581558.0,Parking,189600.0,Retail Store,18026.0,"('2015', '2014', '2013')",28.0,115.90000149999999,119.40000149999999,361.2000122,372.0,69519805.5,71568952.0,882983.5,20116302.0,68636822.0,0.0,0.0,0.0,546.65,0.88,False,,Compliant,,98164.0,47.606159999999996,-122.33165,901 FIFTH AVENUE,789184.0,43,10376.372093023256,0.27765006054875957,False,True,3,0.012701179090611811,0.9872988209093881,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.0385421724115008,18.086171906600725,6.303808743880494
466,356,2015,NonResidential,Large Office,CENTRAL BUILDING,942000550,7,DOWNTOWN,1907,1.0,8.0,201480,0,201480,"('Non-Refrigerated Warehouse', ' Office', ' Retail Store')",Office,161762.0,Retail Store,29094.0,Non-Refrigerated Warehouse,10624.0,(),88.0,48.3,53.3,136.2,146.9,9734919.0,10742509.0,1609624.0,2381289.0,8125295.0,0.0,0.0,0.0,180.89,0.72,False,,Compliant,,98104,47.60504384,-122.33274356,810 3RD AVE,201480.0,108,22386.666666666668,0.0,False,False,0,0.16534539219073113,0.8346546078092689,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.05142543997230822,16.189719232424746,5.197889111713543
468,357,2015,Nonresidential COS,Large Office,SEATTLE MUNICIPAL TOWER,942000720,3,DOWNTOWN,1990,1.0,63.0,1195387,159600,1035787,"('Office', ' Other', ' Parking')",Office,1187924.0,Parking,159599.0,Other,18656.0,"('2014', '2013', '2011', '2010', '2009', '2008', '2007')",82.0,53.6,54.6,168.4,171.3,64718330.0,65842744.0,0.0,18960680.0,64696526.0,218.0,21804.0,0.0,452.16,0.15,False,,Compliant,,98104,47.60491077,-122.32891587,700 5TH AVE,1366179.0,25,16184.171875,0.13351324717434604,False,True,7,0.0,0.9996630939024539,0.00033690609754608936,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.03274040200479972,18.00277979025686,6.114036099496163
471,358,2015,Nonresidential COS,Large Office,SEATTLE JUSTICE CENTER,942000750,3,DOWNTOWN,2001,1.0,14.0,310490,0,310490,"('Data Center', ' Office', ' Other')",Office,269284.0,Other,28394.0,Data Center,600.0,(),,73.0,76.2,194.4,194.1,21782021.0,22725482.0,0.0,4922438.0,16796056.0,49860.0,4985965.0,0.0,381.89,1.0,False,,Compliant,,98104,47.60403674,-122.32877322,610 5TH AVE,298278.0,14,20699.333333333332,0.0,False,False,0,0.0,0.7710972273876698,0.22890277261233014,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.042617184395910064,16.938997407923896,5.945132609023493
473,359,2016,Nonresidential COS,Large Office,CITY HALL,942000810,7,DOWNTOWN,2003,1.0,8.0,199530,30660,168870,"('Office', ' Other', ' Parking', ' Restaurant')",Office,160418.0,Parking,18590.0,Other,17480.0,(),69.0,73.19999695,77.40000153,178.1000061,181.0,13214416.0,13972700.0,0.0,2561244.0,8738965.0,44754.50781,4475451.0,0.0,298.61,1.5,False,,Compliant,,98104.0,47.603770000000004,-122.32971,600 4TH AVE,196488.0,13,18763.333333333332,0.1536611035934446,False,False,0,0.0,0.661320560817822,0.338679439182178,0.0,(s),e,n,(o),(s)en(o),Electricity,0.05155575799130294,16.452615983854287,5.699138374162544
475,360,2015,NonResidential,Large Office,CHINOOK BLDG - KING COUNTY,942001105,7,DOWNTOWN,2006,1.0,13.0,372242,52703,319539,"('Office',)",Office,372242.0,None,0.0,None,0.0,(),98.0,40.5,40.7,111.5,108.3,15083844.0,15134162.0,0.0,3601225.0,12287890.0,27960.0,2795954.0,0.0,234.15,0.49,False,,Compliant,,98104,47.60213517,-122.32847035,401 5TH AVE,372242.0,9,22824.214285714286,0.14158262635597274,False,False,0,0.0,0.8146391596200544,0.1853608403799456,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.04040379390209729,16.532465130553568,5.455961935629551
477,361,2015,NonResidential,Large Office,YESLER BUILDING - KING COUNTY,942001150,7,DOWNTOWN,1909,1.0,7.0,114395,8296,106099,"('Office',)",Office,96582.0,None,0.0,None,0.0,(),98.0,32.1,35.6,78.4,82.1,3098724.0,3436894.0,0.0,605927.0,2067509.0,10312.0,1031215.0,0.0,69.18,0.53,False,,Compliant,,98104,47.60185187,-122.32859693,400 YESLER WAY,96582.0,106,13262.375,0.07252065212640413,False,False,0,0.0,0.6672130205852473,0.33278697941475266,0.0,(s),e,n,(o),(s)en(o),Electricity,0.0612281891828016,15.050078714506805,4.2367118035090225
478,363,2016,NonResidential,Retail Store,UNIVERSITY BOOK STORE,1142000075,4,NORTHEAST,1978,1.0,2.0,89200,0,89200,"('Retail Store',)",Retail Store,89200.0,None,0.0,None,0.0,(),83.0,72.40000153,75.19999695,204.8999939,206.8000031,6461936.0,6707359.5,0.0,1611701.375,5499125.0,9628.110352,962811.0,0.0,89.47,1.0,False,,Compliant,,98105.0,47.66024,-122.31278,4326 UNIVERSITY WAY NE,89200.0,38,29733.333333333332,0.0,False,False,0,0.0,0.8510027025956308,0.1489972974043692,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.09727141426488584,15.718715914361077,4.493903373559505
480,364,2016,NonResidential,Large Office,UW TOWER BLDG COMPLEX,1142000280,4,NORTHEAST,1971,1.0,23.0,474546,0,474546,"('Office',)",Office,474546.0,None,0.0,None,0.0,(),77.0,60.0,63.20000076,188.3000031,198.5,28450433.0,29997380.0,0.0,8338345.0,28450433.0,0.0,0.0,0.0,198.34,0.42,False,,Compliant,,98195.0,47.66072,-122.31466,4333 BROOKLYN AVE,474546.0,45,19772.75,0.0,False,False,0,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.03770560299954093,17.216620602479317,5.289982729757979
481,365,2016,NonResidential,Other,UW TOWER DATA CENTER,1142000290,4,NORTHEAST,1969,1.0,5.0,36000,0,36000,"('Data Center',)",Data Center,36000.0,None,0.0,None,0.0,"('2016', '2015', '2014', '2013')",96.0,834.4000244,834.4000244,2620.0,2620.0,30038487.0,30038490.0,0.0,8803777.0,30038487.0,0.0,0.0,0.0,209.41,5.82,False,,Compliant,,98185.0,47.6606,-122.31512,4333 BROOKLYN AVE NE,36000.0,47,6000.0,0.0,True,True,4,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.08867681498646926,17.21799011728523,5.344294052788061
484,367,2016,NonResidential,Large Office,4311 ROOSEVELT,1142000530,4,NORTHEAST,2002,1.0,6.0,135051,44248,90803,"('Office', ' Parking')",Office,95943.0,Parking,42500.0,None,0.0,"('2017', '2016', '2015', '2014', '2013', '2011', '2008')",88.0,46.09999847,46.09999847,144.8999939,144.8999939,4426136.0,4426136.0,0.0,1297226.125,4426136.0,0.0,0.0,0.0,30.86,0.23,False,,Compliant,,98105.0,47.66065,-122.31688999999999,4311 11TH AVENUE NE,138443.0,14,12971.857142857143,0.32763918815854753,True,True,7,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.06054388465815907,15.303037526640257,3.4294608469350147
486,368,2016,NonResidential,Large Office,4300 ROOSEVELT,1142000550,4,NORTHEAST,2002,1.0,5.0,220649,82720,137929,"('Office', ' Parking')",Office,145754.0,Parking,90000.0,None,0.0,"('2017', '2016', '2015', '2014', '2013', '2008')",93.0,48.29999924,48.29999924,151.8000031,151.8000031,7046345.0,7046345.5,0.0,2065165.5,7046345.0,0.0,0.0,0.0,49.12,0.22,False,,Compliant,,98105.0,47.65999,-122.31741000000001,4300 ROOSEVELT WAY NE,235754.0,14,22988.166666666668,0.37489406251557905,True,True,6,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.05789561201044709,15.768019671594574,3.894266283838887
489,369,2016,NonResidential,Self-Storage Facility,SEATTLE VAULT SELF STORAGE,660001580,7,DOWNTOWN,1964,1.0,5.0,93660,0,93660,"('Self-Storage Facility',)",Self-Storage Facility,93660.0,None,0.0,None,0.0,(),,9.300000191,10.0,29.29999924,31.5,873222.0,940359.1875,0.0,255926.7031,873222.0,0.0,0.0,0.0,6.09,0.07,False,,Compliant,,98101.0,47.61591,-122.33238,1800 TERRY AVE.,93660.0,52,15610.0,0.0,False,False,0,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.06905240810509183,13.754017195620788,1.8066480817218056
491,370,2016,NonResidential,Large Office,METROPOLITAN PARK WEST,660002054,7,DOWNTOWN,1980,1.0,18.0,413715,64660,349055,"('Office', ' Parking')",Office,348270.0,Parking,69634.0,None,0.0,"('2016', '2015', '2013', '2012', '2010')",79.0,69.59999847,69.59999847,218.39999390000003,218.39999390000003,24224886.0,24224888.0,0.0,7099908.0,24224886.0,0.0,0.0,0.0,168.88,0.41,False,,Compliant,,98101.0,47.615970000000004,-122.33086000000002,1100 OLIVE WAY,417904.0,36,18371.315789473683,0.156291166624367,True,True,5,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.038803199937976776,17.002891092407403,5.129188403540065
492,371,2015,NonResidential,Large Office,METROPOLITAN PARK NORTH BUILDING,660002381,7,DOWNTOWN,2000,1.0,11.0,381381,195621,185760,"('Fitness Center/Health Club/Gym', ' Office')",Office,164192.0,Fitness Center/Health Club/Gym,37782.0,None,0.0,(),85.0,48.5,48.7,151.1,151.3,9797050.0,9831408.0,0.0,2837082.0,9680526.0,1165.0,116524.0,0.0,73.67,0.08,False,,Compliant,,98101,47.61788951,-122.33127667,1220 HOWELL ST,201974.0,15,15480.0,0.5129280168650248,False,False,0,0.0,0.9881062156465467,0.011893784353453335,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.04095584398969971,16.10109271686111,4.299595660694722
496,373,2015,NonResidential,Large Office,FOURTH & BLANCHARD BUILDING,694000205,7,DOWNTOWN,1979,1.0,24.0,543876,116721,427155,"('Office', ' Parking')",Office,432841.0,Parking,98503.0,None,0.0,(),76.0,59.7,62.2,187.5,195.5,25841435.0,26942314.0,0.0,7573377.0,25841435.0,0.0,0.0,0.0,180.14,0.13,False,,Compliant,,98121,47.61420011,-122.34223589,2101 4TH AVE,531344.0,36,17086.2,0.2146095801248814,False,False,0,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.03600828710613932,17.109208619838313,5.193734326355597
499,374,2016,NonResidential,Mixed Use Property,ECONET (ID#374),695000135,7,DOWNTOWN,1980,1.0,4.0,109347,38700,70647,"('Laboratory', ' Office', ' Parking')",Laboratory,42389.0,Parking,38700.0,Office,28258.0,(),,116.3000031,118.59999850000001,343.60000610000003,346.0,8218155.0,8381544.5,0.0,2193628.0,7484659.0,7334.959961,733496.0,0.0,91.13,0.83,False,,Compliant,,98121.0,47.6177,-122.3545,3005 1ST AVE,109347.0,36,14129.4,0.35391917473730417,False,False,0,0.0,0.9107468768841668,0.08925312311583318,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.07149284301238251,15.941542763351551,4.5122870585080355
500,375,2015,NonResidential,Large Office,THIRD AND BROAD BLDG,695000335,7,DOWNTOWN,1982,1.0,6.0,396626,124216,272410,"('Office', ' Parking')",Office,283267.0,Parking,113359.0,None,0.0,(),66.0,72.8,71.5,228.7,224.5,20631023.0,20248772.0,0.0,6046356.0,20631023.0,0.0,0.0,0.0,143.82,0.14,False,,Compliant,,98121,47.61836011,-122.35263651,2901 3RD AVE,396626.0,33,38915.71428571428,0.31318168753435227,False,False,0,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.04855025416936085,16.823604707702714,4.968562517674348
503,376,2016,NonResidential,Large Office,5TH AND BELL,696000175,7,DOWNTOWN,2002,1.0,6.0,287471,83591,203880,"('Office', ' Other', ' Other - Restaurant/Bar', ' Parking')",Office,191814.0,Parking,72178.0,Other - Restaurant/Bar,5322.0,"('2016', '2011', '2010', '2009', '2008')",74.0,74.90000153,74.90000153,235.10000609999997,235.10000609999997,14913422.0,14913424.0,0.0,4370874.0,14913422.0,0.0,0.0,0.0,103.97,0.36,False,,Compliant,,98121.0,47.61598,-122.34369,2301 5TH AVE,269314.0,14,29125.714285714286,0.2907806352640788,True,False,5,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.05148443382496163,16.517772304910523,4.644102395989878
505,377,2016,NonResidential,Large Office,FIFTH AND WALL LLC,697000064,7,DOWNTOWN,1947,1.0,3.0,192630,48512,144118,"('Office', ' Parking')",Office,146157.0,Parking,48199.0,None,0.0,"('2007',)",94.0,36.70000076,38.09999847,112.40000149999999,117.0,5357832.0,5569686.0,0.0,1515135.25,5169641.0,1881.909668,188191.0,0.0,46.03,0.24,False,,Compliant,,98121.0,47.617340000000006,-122.34433999999999,521 WALL STREET,194356.0,69,36029.5,0.25184031563100245,False,False,1,0.0,0.9648755317449297,0.03512446825507033,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.07378309407459492,15.53284923688534,3.82929335782915
506,379,2016,NonResidential,Large Office,3101 WESTERN AVENUE,698000040,7,DOWNTOWN,1984,1.0,8.0,253103,61986,191117,"('Laboratory', ' Office', ' Other', ' Parking')",Office,158681.0,Parking,70190.0,Other,21782.0,"('2010',)",3.0,161.1999969,161.1999969,506.1000061000001,506.1000061000001,29949243.0,29949248.0,0.0,8777621.0,29949243.0,0.0,0.0,0.0,208.79,0.82,False,,Compliant,,98121.0,47.6176,-122.35686000000001,3101 WESTERN AVENUE,250653.0,32,21235.222222222223,0.244904248468015,False,False,1,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.04854378635718464,17.215014773696318,5.341328962141284
509,381,2016,NonResidential,Supermarket / Grocery Store,70500872 -- HOLMAN ROAD,767000060,6,NORTHWEST,1956,1.0,1.0,60880,0,60880,"('Supermarket/Grocery Store',)",Supermarket/Grocery Store,61666.0,None,0.0,None,0.0,(),54.0,231.8000031,239.0,518.7999878,523.5999756,14293971.0,14736775.0,0.0,2381365.25,8125218.0,61687.52734,6168753.0,0.0,384.27,6.31,False,,Compliant,,98117.0,47.7019,-122.36373999999999,9999 HOLMAN ROAD NW,61666.0,60,30440.0,0.0,False,False,0,0.0,0.5684367206285783,0.4315632793714217,0.0,(s),e,n,(o),(s)en(o),Electricity,0.13403760623601454,16.50585662838529,5.951345430511155
511,382,2015,NonResidential,Small- and Mid-Sized Office,COLLINS BUILDING,939000025,7,DOWNTOWN,1900,1.0,5.0,50176,0,50176,"('Office', ' Other', ' Restaurant')",Office,29070.0,Other,8329.0,Restaurant,4253.0,(),,72.8,72.8,228.7,228.7,3033466.0,3033340.0,0.0,889021.0,3033466.0,0.0,0.0,0.0,21.15,0.16,False,,Compliant,,98104,47.60227966,-122.33202362,520 2ND AVE,41652.0,115,8362.666666666666,0.0,False,False,0,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.08077792530102237,14.925174880618751,3.0516399054922867
